Geneid,MGIsymbol,group1_1,group1_2,group1_3,group2_1,group2_2,group2_3,group3_1,group3_2,group3_3,logFC_group1/group2,logFC_group1/group3,logFC_group2/group1,logFC_group2/group3,logFC_group3/group1,logFC_group3/group2,padj_group1/group2,padj_group1/group3,padj_group2/group1,padj_group2/group3,padj_group3/group1,padj_group3/group2
ENSMUSG00000028100,Nudt17,7.58880877804461,7.67897036999972,7.69782806265226,7.31192417376915,7.27856895850871,7.27628615757104,7.5017715442383,7.4726846054461,7.42228219674945,0.36626010531085,0.18960759612816,-0.36626010531085,-0.17665250918269,-0.18960759612816,0.17665250918269,0.00197943281794864,0.00718427314225368,0.00197943281794864,0.0158849635866365,0.00718427314225364,0.0158849635866364
ENSMUSG00000026177,Slc11a1,3.84920126609453,3.80173192178622,3.9980775036457,1.38745272776285,1.89896626112985,1.54454069460311,1.89155284552213,1.52621707708698,1.77392048552152,2.26967994071534,2.14933152901486,-2.26967994071534,-0.120348411700481,-2.14933152901486,0.120348411700481,0.00126829303728319,0.000336051828688595,0.00126829303728319,0.610805757759089,0.000336051828688595,0.610805757759089
ENSMUSG00000040046,Tph1,6.02208785286255,7.44079616922971,7.08275446061872,6.2857161381107,5.7500687716728,6.79227307460367,5.5604984857242,5.54389136450915,5.98562987302388,0.572481350312419,1.15173219176697,-0.572481350312418,0.579250841454551,-1.15173219176697,-0.579250841454551,0.382779425884233,0.0844974202283027,0.382779425884233,0.374298931003152,0.0844974202283027,0.374298931003152
ENSMUSG00000008028,1700008O03Rik,1.22897975153878,0.734812005415596,0.84238828423923,-0.224598225851895,-1.33436997498793,-0.684187067696911,-1.53608726564719,-2.21167514647925,-1.11772500179376,1.66918132572708,2.52239327563487,-1.66918132572708,0.853211949907796,-2.52239327563487,-0.853211949907796,0.0239713023130123,0.00363888415361293,0.0239713023130123,0.152919852696215,0.00363888415361293,0.152919852696215
ENSMUSG00000035126,Wdr78,5.32338218880406,5.61051463466129,5.47086373781941,5.26216799115829,5.34862999450455,5.19993432614207,4.94341313276832,5.11460146050471,5.22481614731549,0.197973245467972,0.373861038076351,-0.197973245467972,0.175887792608379,-0.373861038076351,-0.175887792608379,0.200020947711101,0.0290192328505926,0.200020947711101,0.248563913879915,0.0290192328505926,0.248563913879916
ENSMUSG00000036151,Tm6sf2,9.7006431509269,9.55577978555426,9.61387017714906,9.87560380256751,9.75872576456022,9.83410989516527,9.58177398212933,9.57776040628067,9.37460278345363,-0.199380074231327,0.112049009613016,0.199380074231327,0.311429083844343,-0.112049009613016,-0.311429083844343,0.0876410892049788,0.259628435577603,0.0876410892049789,0.0249883778356524,0.259628435577603,0.0249883778356524
ENSMUSG00000071724,Smpd5,8.69941957816274,8.91149433843893,8.89914122904616,8.53253899547758,8.72460552132139,8.85355672973891,9.68353300698306,9.80274268351328,9.68766304644898,0.133115675849793,-0.887951053205335,-0.133115675849793,-1.02106672905513,0.887951053205335,1.02106672905513,0.369527947275371,0.00124447559635355,0.369527947275371,0.00171364310637912,0.00124447559635355,0.00171364310637913
ENSMUSG00000030432,Rpl28,5.62215585669359,5.54806134901121,5.52103174552345,5.67313927703812,5.79868182413021,5.68091219064653,5.43368056384028,5.5026450954622,5.68342801024726,-0.153801638741704,0.0237997018135924,0.153801638741704,0.177601340555296,-0.0237997018135924,-0.177601340555296,0.173690744391198,0.825108144246227,0.173690744391198,0.128319291052315,0.825108144246227,0.128319291052315
ENSMUSG00000039725,2810408M09Rik,5.21036286406506,5.07227790191911,5.18141687965676,5.09610626949951,5.03790180022721,5.18847172855272,4.86560747685678,4.92056397916555,4.56136559702438,0.0471858066296606,0.372028805087694,-0.0471858066296607,0.324842998458033,-0.372028805087694,-0.324842998458033,0.772287559820018,0.0317908028735595,0.77228755982002,0.0664443061606306,0.0317908028735594,0.0664443061606308
ENSMUSG00000022204,Ngdn,5.08910700251829,5.02872673379459,5.35198487533065,4.8974091632724,4.93940669501735,4.86598594452972,4.77274738495794,4.56538724930215,4.86003321772281,0.255617012116195,0.423726712488723,-0.255617012116195,0.168109700372528,-0.423726712488723,-0.168109700372528,0.135867397560247,0.0245200919357246,0.135867397560247,0.301302262573415,0.0245200919357246,0.301302262573415
